Facultad,Carrera,Ciclo,Asignatura,Docente,Estudiantes_Matriculados,Aprobados,Reprobados,Promedio_Final,Promedio_Ciclo_Anterior
Ingeniería,Software,2023-I,Base de Datos Avanzadas,Dr. Legarda,35,28,7,7.6,7.2
Ingeniería,Software,2023-I,Redes de Computadoras,Msc. Vera,30,22,8,6.8,6.5
Ingeniería,Software,2023-I,Ingeniería de Software,Dr. Mora,32,27,5,8.1,7.8
Ingeniería,Software,2023-II,Base de Datos Avanzadas,Dr. Legarda,33,26,7,7.8,7.6
Ingeniería,Software,2023-II,Redes de Computadoras,Msc. Vera,28,18,10,6.2,6.8
Ingeniería,Software,2023-II,Ingeniería de Software,Dr. Mora,31,28,3,8.3,8.1
Ingeniería,Software,2024-I,Base de Datos Avanzadas,Dr. Legarda,38,32,6,8.0,7.8
Ingeniería,Software,2024-I,Redes de Computadoras,Msc. Vera,35,24,11,6.5,6.2
Ingeniería,Software,2024-I,Ingeniería de Software,Dr. Mora,34,30,4,8.2,8.3
Ingeniería,Software,2024-II,Base de Datos Avanzadas,Dr. Legarda,36,29,7,7.9,8.0
Ingeniería,Software,2024-II,Redes de Computadoras,Msc. Vera,32,20,12,6.1,6.5
Ingeniería,Software,2024-II,Ingeniería de Software,Dr. Mora,33,29,4,8.4,8.2
Ingeniería,Sistemas,2023-I,Análisis de Sistemas,PhD. Ruiz,40,34,6,8.0,7.6
Ingeniería,Sistemas,2023-I,Programación Web,Msc. Castro,38,30,8,7.2,6.9
Ingeniería,Sistemas,2023-I,Arquitectura de Computadoras,Dr. Pinto,36,28,8,7.5,7.1
Ingeniería,Sistemas,2023-II,Análisis de Sistemas,PhD. Ruiz,38,31,7,7.9,8.0
Ingeniería,Sistemas,2023-II,Programación Web,Msc. Castro,36,27,9,7.0,7.2
Ingeniería,Sistemas,2023-II,Arquitectura de Computadoras,Dr. Pinto,34,25,9,7.1,7.5
Ingeniería,Sistemas,2024-I,Análisis de Sistemas,PhD. Ruiz,42,36,6,8.2,7.9
Ingeniería,Sistemas,2024-I,Programación Web,Msc. Castro,40,32,8,7.4,7.0
Ingeniería,Sistemas,2024-I,Arquitectura de Computadoras,Dr. Pinto,38,29,9,7.3,7.1
Ingeniería,Sistemas,2024-II,Análisis de Sistemas,PhD. Ruiz,41,35,6,8.1,8.2
Ingeniería,Sistemas,2024-II,Programación Web,Msc. Castro,39,30,9,7.1,7.4
Ingeniería,Sistemas,2024-II,Arquitectura de Computadoras,Dr. Pinto,37,28,9,7.0,7.3
Ingeniería,Civil,2023-I,Estructuras I,Dr. Almeida,45,38,7,7.8,7.5
Ingeniería,Civil,2023-I,Hidráulica,Msc. Torres,42,30,12,6.5,6.2
Ingeniería,Civil,2023-I,Topografía,Ing. Loor,40,28,12,6.2,6.0
Ingeniería,Civil,2023-II,Estructuras I,Dr. Almeida,43,35,8,7.5,7.8
Ingeniería,Civil,2023-II,Hidráulica,Msc. Torres,40,26,14,5.9,6.5
Ingeniería,Civil,2023-II,Topografía,Ing. Loor,38,24,14,5.8,6.2
Ingeniería,Civil,2024-I,Estructuras I,Dr. Almeida,46,37,9,7.6,7.5
Ingeniería,Civil,2024-I,Hidráulica,Msc. Torres,44,28,16,5.5,5.9
Ingeniería,Civil,2024-I,Topografía,Ing. Loor,42,22,20,4.8,5.8
Ingeniería,Civil,2024-II,Estructuras I,Dr. Almeida,44,36,8,7.7,7.6
Ingeniería,Civil,2024-II,Hidráulica,Msc. Torres,41,26,15,5.7,5.5
Ingeniería,Civil,2024-II,Topografía,Ing. Loor,40,21,19,4.6,4.8
Ciencias,Matemáticas,2023-I,Cálculo III,PhD. Vega,28,20,8,6.8,6.5
Ciencias,Matemáticas,2023-I,Álgebra Lineal,Dr. Solano,25,17,8,6.4,6.1
Ciencias,Matemáticas,2023-I,Estadística,Msc. Ramos,30,22,8,6.9,6.7
Ciencias,Matemáticas,2023-II,Cálculo III,PhD. Vega,26,17,9,6.5,6.8
Ciencias,Matemáticas,2023-II,Álgebra Lineal,Dr. Solano,24,15,9,6.1,6.4
Ciencias,Matemáticas,2023-II,Estadística,Msc. Ramos,28,20,8,6.7,6.9
Ciencias,Matemáticas,2024-I,Cálculo III,PhD. Vega,29,18,11,5.9,6.5
Ciencias,Matemáticas,2024-I,Álgebra Lineal,Dr. Solano,26,15,11,5.6,6.1
Ciencias,Matemáticas,2024-I,Estadística,Msc. Ramos,31,21,10,6.5,6.7
Ciencias,Matemáticas,2024-II,Cálculo III,PhD. Vega,27,17,10,6.1,5.9
Ciencias,Matemáticas,2024-II,Álgebra Lineal,Dr. Solano,25,14,11,5.4,5.6
Ciencias,Matemáticas,2024-II,Estadística,Msc. Ramos,29,20,9,6.6,6.5
Ciencias,Física,2023-I,Física II,Dr. Zambrano,22,14,8,5.9,5.7
Ciencias,Física,2023-I,Mecánica Cuántica,PhD. Naranjo,18,10,8,5.2,5.0
Ciencias,Física,2023-I,Electromagnetismo,Dr. Cedeño,20,13,7,6.0,5.8
Ciencias,Física,2023-II,Física II,Dr. Zambrano,21,13,8,5.7,5.9
Ciencias,Física,2023-II,Mecánica Cuántica,PhD. Naranjo,17,9,8,4.9,5.2
Ciencias,Física,2023-II,Electromagnetismo,Dr. Cedeño,19,12,7,5.8,6.0
Ciencias,Física,2024-I,Física II,Dr. Zambrano,23,13,10,5.4,5.7
Ciencias,Física,2024-I,Mecánica Cuántica,PhD. Naranjo,19,9,10,4.6,4.9
Ciencias,Física,2024-I,Electromagnetismo,Dr. Cedeño,21,12,9,5.5,5.8
Ciencias,Física,2024-II,Física II,Dr. Zambrano,22,12,10,5.2,5.4
Ciencias,Física,2024-II,Mecánica Cuántica,PhD. Naranjo,18,8,10,4.3,4.6
Ciencias,Física,2024-II,Electromagnetismo,Dr. Cedeño,20,11,9,5.3,5.5
